127.0.0.1 - - [21/Oct/2020:18:34:03 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Oct/2020:18:34:06 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6482
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:50:44 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6721
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:50:45 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:50:45 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:50:55 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:51:18 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6721
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:51:18 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:51:18 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:51:18 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:51:53 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6721
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:51:53 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:51:53 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:51:53 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:52:48 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6721
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:52:49 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:52:49 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:52:49 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:53:42 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6721
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:53:42 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:53:42 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:53:42 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:54:01 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6721
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:54:01 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:54:01 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:54:01 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:54:13 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6721
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:54:13 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:54:13 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:54:13 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:54:39 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6721
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:54:39 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:54:39 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:54:39 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:54:48 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6721
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:54:48 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:54:48 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [21/Oct/2020:22:54:48 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [21/Oct/2020:23:01:28 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6721
0:0:0:0:0:0:0:1 - - [21/Oct/2020:23:01:28 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [21/Oct/2020:23:01:28 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [21/Oct/2020:23:01:28 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [21/Oct/2020:23:01:36 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6721
0:0:0:0:0:0:0:1 - - [21/Oct/2020:23:01:37 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [21/Oct/2020:23:01:37 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [21/Oct/2020:23:01:37 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 532
