0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:38:44 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:38:44 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:38:52 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6636
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:38:52 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:38:52 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:38:52 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:46:28 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6636
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:46:28 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:46:28 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:46:28 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:46:30 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6636
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:46:30 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:46:30 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:46:30 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:46:32 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6636
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:46:32 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:46:32 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [23/Oct/2020:19:46:32 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [23/Oct/2020:20:29:08 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 6636
