127.0.0.1 - - [19/Oct/2020:19:42:11 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Oct/2020:19:43:07 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 4408
0:0:0:0:0:0:0:1 - - [19/Oct/2020:20:40:43 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 4408
0:0:0:0:0:0:0:1 - - [19/Oct/2020:20:40:43 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [19/Oct/2020:20:41:13 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 4408
0:0:0:0:0:0:0:1 - - [19/Oct/2020:20:41:14 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [19/Oct/2020:20:42:04 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 4408
0:0:0:0:0:0:0:1 - - [19/Oct/2020:20:42:04 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [19/Oct/2020:20:42:22 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 4408
0:0:0:0:0:0:0:1 - - [19/Oct/2020:20:42:23 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [19/Oct/2020:20:42:29 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 4408
0:0:0:0:0:0:0:1 - - [19/Oct/2020:20:42:29 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [19/Oct/2020:20:43:23 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 4408
0:0:0:0:0:0:0:1 - - [19/Oct/2020:20:43:23 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [19/Oct/2020:20:43:36 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 4408
0:0:0:0:0:0:0:1 - - [19/Oct/2020:20:43:36 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [19/Oct/2020:20:44:26 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 4408
0:0:0:0:0:0:0:1 - - [19/Oct/2020:20:44:26 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [19/Oct/2020:20:45:19 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 4408
0:0:0:0:0:0:0:1 - - [19/Oct/2020:20:45:19 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [19/Oct/2020:20:45:39 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 4408
0:0:0:0:0:0:0:1 - - [19/Oct/2020:20:45:44 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 4408
0:0:0:0:0:0:0:1 - - [19/Oct/2020:20:45:44 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:11:48 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 4408
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:11:48 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:12:12 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 4408
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:12:13 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:14:35 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 4408
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:14:36 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:14:36 +0200] "POST /Oblig2Services/services/ByteCounter.ByteCounterHttpSoap11Endpoint/ HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [19/Oct/2020:21:15:14 +0200] "GET /Oblig2Services/services/ByteCounter?wsdl HTTP/1.1" 200 4408
